class,leftX,leftY,leftZ,rightX,rightY,rightZ
3,-747.8674,152.3044,1941.104,264.3704,384.4932,2066.589
3,-743.7354,153.1912,1952.913,270.7435,380.2447,2076.847
3,-742.6752,152.3772,1964.785,278.8147,376.2599,2080.116
3,-731.2818,150.337,1969.046,288.7886,371.6945,2084.927
3,-725.0378,143.9968,1973.329,292.5818,369.5096,2083.041
3,-719.7904,138.3815,1976.18,297.4952,369.1466,2093.869
3,-711.2953,137.5372,1980.141,299.6038,362.1421,2093.422
3,-701.5417,137.1216,1984.154,303.2662,358.8292,2095.353
3,-703.7645,139.0523,1994.03,304.1996,357.5589,2098.297
3,-704.6149,136.7308,1998.128,307.5416,356.7848,2101.965
3,-706.5811,133.1736,2002.554,310.5352,358.4196,2101.599
3,-708.1844,134.3002,2010.265,310.0782,356.5221,2110.823
3,-708.3094,134.2256,2013.964,308.0642,350.8448,2112.247
3,-708.2473,130.3472,2016.114,312.9233,352.8528,2119.979
3,-714.6908,128.9215,2021.612,314.0241,350.722,2126.463
3,-716.6498,123.8842,2022.466,310.0138,350.3004,2134.208
3,-719.7625,119.9754,2021.951,317.5846,348.4729,2138.771
3,-720.8607,114.0866,2021.422,320.7728,340.3724,2138.811
3,-721.764,110.3546,2019.926,320.5699,336.6725,2141.968
3,-723.5296,109.4196,2020.144,321.8829,336.7347,2146.01
3,-724.1852,109.4128,2021.017,318.5801,338.6976,2147.702
3,-727.596,108.8888,2022.702,321.5582,341.0103,2155.574
3,-726.0563,105.9557,2021.885,319.9207,341.9297,2156.879
3,-727.1432,105.2215,2020.794,316.9175,341.8059,2160.082
3,-729.0772,103.8268,2023.291,315.9296,341.6269,2160.427
3,-733.0763,97.98264,2022.899,307.5012,341.4868,2162.377
3,-737.6848,98.10969,2025.087,304.4535,336.0359,2159.494
3,-742.6635,97.32428,2024.345,304.8913,333.7749,2158.458
3,-742.0563,91.93922,2021.498,301.6743,330.9441,2157.605
3,-740.699,90.75885,2020.224,302.9114,329.7536,2159.004
3,-739.942,89.57706,2018.579,301.5746,333.0184,2158.591
3,-739.1409,89.8004,2016.806,302.7185,336.4673,2156.209
3,-738.2402,89.71906,2018.608,302.9808,340.6558,2157.981
3,-739.5175,90.98766,2018.848,303.7971,342.4232,2156.464
3,-739.7685,96.4067,2019.244,304.1765,345.3132,2155.591
3,-737.6694,97.70489,2018.938,300.8512,344.8432,2153.684
3,-731.2473,96.41284,2017.834,298.2318,343.9079,2149.573
3,-726.2997,100.8505,2015.2,296.3904,345.9806,2148.614
